North Carolina-Wilmington,78,Eastern Kentucky,59
College of Charleston,72,Navy,58
Southern,76,Mississippi State,72
Navy,58,College of Charleston,72
Saint Mary's (CA),89,Manhattan,63
Morgan State,61,Towson,69
Towson,69,Morgan State,61
Tulane,79,Drake,74
Drake,74,Tulane,79
Tennessee-Martin,79,Bethune-Cookman,86
Bethune-Cookman,86,Tennessee-Martin,79
Southeastern Louisiana,58,Texas A&M,100
Texas A&M,100,Southeastern Louisiana,58
James Madison,73,West Virginia,86
Virginia Commonwealth,92,Radford,74
West Virginia,86,James Madison,73
Yale,99,Sacred Heart,77
Sacred Heart,77,Yale,99
Utah,81,San Diego State,76
San Diego State,76,Utah,81
Gardner-Webb,62,Vanderbilt,98
Radford,74,Virginia Commonwealth,92
Vanderbilt,98,Gardner-Webb,62
Campbell,57,Savannah State,59
San Jose State,64,Montana,61
Savannah State,59,Campbell,57
South Carolina,84,Oral Roberts,66
Oral Roberts,66,South Carolina,84
Rice,54,San Francisco,80
Montana,61,San Jose State,64
San Francisco,80,Rice,54
Monmouth,90,Southern California,101
South Florida,57,NJIT,60
Southern California,101,Monmouth,90
St. John's (NY),75,Maryland-Baltimore County,53
Maryland-Baltimore County,53,St. John's (NY),75
South Dakota State,85,Weber State,68
NJIT,60,South Florida,57
Weber State,68,South Dakota State,85
Colgate,98,Cornell,101
Cornell,101,Colgate,98
UC-Santa Barbara,67,University of California,85
University of California,85,UC-Santa Barbara,67
Canisius,98,Lehigh,89
Lehigh,89,Canisius,98
Florida,104,North Carolina A&T,54
North Carolina A&T,54,Florida,104
New Orleans,75,Duquesne,95
Duquesne,95,New Orleans,75
Charlotte,74,East Carolina,88
East Carolina,88,Charlotte,74
Arizona,90,Bradley,60
Alabama State,70,Alabama-Birmingham,72
Bradley,60,Arizona,90
Belmont,74,Arizona State,83
Arizona State,83,Belmont,74
Tennessee Tech,70,Air Force,80
Air Force,80,Tennessee Tech,70
Alabama-Birmingham,72,Alabama State,70
Albany (NY),64,Boston University,69
Northern Arizona,81,Boise State,101
Boston University,69,Albany (NY),64
Holy Cross,55,Brown,71
Brown,71,Holy Cross,55
Ball State,73,Eastern Illinois,56
Boise State,101,Northern Arizona,81
Eastern Illinois,56,Ball State,73
Columbia,71,Kansas State,81
Indiana State,70,Wyoming,55
Indiana,102,Austin Peay,76
Wyoming,55,Indiana State,70
Iowa State,106,Chicago State,64
Chicago State,64,Iowa State,106
Louisiana State,91,Kennesaw State,69
Kennesaw State,69,Louisiana State,91
Long Island University,71,Loyola (MD),68
IUPUI,71,Marquette,75
Loyola (MD),68,Long Island University,71
Brigham Young,65,Long Beach State,66
Kansas State,81,Columbia,71
Long Beach State,66,Brigham Young,65
Tennessee,67,Georgia Tech,69
Georgia Tech,69,Tennessee,67
Hawaii,76,Nevada,75
Nevada,75,Hawaii,76
Fresno State,80,Lamar,72
Lamar,72,Fresno State,80
Virginia,68,George Washington,73
George Washington,73,Virginia,68
Morehead State,66,Illinois State,67
